epoch,loss,mae
0,0.05549845099449158,0.28725773096084595
1,0.033675000071525574,0.19070416688919067
2,0.028045419603586197,0.18227042257785797
3,0.02430664747953415,0.17067846655845642
4,0.022064683958888054,0.15666311979293823
5,0.02100692130625248,0.14585626125335693
6,0.020368508994579315,0.14249297976493835
7,0.019507145509123802,0.1399957537651062
8,0.018325094133615494,0.1351993829011917
9,0.01716943085193634,0.12972943484783173
10,0.016139714047312737,0.12599331140518188
11,0.015109289437532425,0.12282268702983856
12,0.014196204021573067,0.11722143739461899
13,0.01334301196038723,0.11271964758634567
14,0.012719796970486641,0.11017410457134247
15,0.011882953345775604,0.10540276765823364
16,0.011112408712506294,0.10287003219127655
17,0.010197598487138748,0.09957881271839142
18,0.009136120788753033,0.09659437835216522
19,0.008338592946529388,0.09110905230045319
20,0.0076562268659472466,0.0894470065832138
21,0.007079915143549442,0.08664079010486603
22,0.006442367099225521,0.0830596536397934
23,0.00583141203969717,0.08079184591770172
24,0.005243212915956974,0.07713185250759125
25,0.004856185056269169,0.07440702617168427
26,0.004592718556523323,0.07267899811267853
27,0.004325577057898045,0.07127013057470322
28,0.004019060637801886,0.06908959895372391
29,0.0037575645837932825,0.06715159863233566
30,0.0035229914356023073,0.06473806500434875
31,0.0033040165435522795,0.06298453360795975
32,0.003049729857593775,0.06055009737610817
33,0.002899979241192341,0.05898334085941315
34,0.002701702993363142,0.056815631687641144
35,0.002557148691266775,0.05499378964304924
36,0.002428126987069845,0.05344977229833603
37,0.002293650060892105,0.05183141306042671
38,0.0021690884605050087,0.050656698644161224
39,0.0020468691363930702,0.04868416488170624
40,0.001966834533959627,0.047653160989284515
41,0.0018658328335732222,0.046565912663936615
42,0.0017751679988577962,0.045172929763793945
43,0.001713750883936882,0.043739382177591324
44,0.0016192259499803185,0.04245661199092865
45,0.0015735495835542679,0.04143504425883293
46,0.0014993983786553144,0.040188536047935486
47,0.001449735020287335,0.039438940584659576
48,0.0014115169178694487,0.03852955624461174
49,0.0013604855630546808,0.03756961226463318
50,0.0013192335609346628,0.03707851096987724
51,0.0012761808466166258,0.035954542458057404
52,0.0012503594625741243,0.03552214056253433
53,0.0012206200044602156,0.03479684889316559
54,0.001182466745376587,0.034064359962940216
55,0.001154417172074318,0.03326258435845375
56,0.0011353571899235249,0.032828859984874725
57,0.0011062067933380604,0.03238961845636368
58,0.001081750844605267,0.03159660845994949
59,0.0010671631898730993,0.03131802752614021
60,0.0010584848932921886,0.031209081411361694
61,0.0010629912139847875,0.031412091106176376
62,0.0010809114901348948,0.031889673322439194
63,0.0011825526598840952,0.034188903868198395
64,0.0021938257850706577,0.049773719161748886
65,0.001211872324347496,0.03576940298080444
66,0.0013955265749245882,0.038768552243709564
67,0.0015896321274340153,0.042552102357149124
68,0.0015808191383257508,0.040739260613918304
69,0.001304497243836522,0.03763780742883682
70,0.0014016710920259356,0.03948965296149254
71,0.0014882204122841358,0.04008670896291733
72,0.0011543126311153173,0.03391614183783531
73,0.001191440038383007,0.03474070131778717
74,0.0011911375913769007,0.035200297832489014
75,0.001066607772372663,0.032375767827034
76,0.0009843014413490891,0.030431672930717468
77,0.0010425359942018986,0.032058168202638626
78,0.0009651437867432833,0.03030780889093876
79,0.0009859803831204772,0.03077387437224388
80,0.0009481728193350136,0.030128180980682373
81,0.0009116831934079528,0.028818033635616302
82,0.0008727428503334522,0.027495890855789185
83,0.0008799749193713069,0.027903489768505096
84,0.0008581955917179585,0.027166292071342468
85,0.0008417515782639384,0.02667640708386898
86,0.0008277768502011895,0.026097143068909645
87,0.0008188799256458879,0.025925498455762863
88,0.0008025695569813251,0.02529793418943882
89,0.000788945471867919,0.02486303076148033
90,0.0007821255130693316,0.024703290313482285
91,0.0007806480280123651,0.024721723049879074
92,0.0007651934865862131,0.024284545332193375
93,0.0007612725021317601,0.024060431867837906
94,0.0007518184138461947,0.023752018809318542
95,0.0007455418817698956,0.02364479750394821
96,0.0007410855032503605,0.02361556887626648
97,0.0007346189231611788,0.023353755474090576
98,0.0007270748028531671,0.023155823349952698
99,0.000721322896424681,0.02287115529179573
